,UserID,CrosswordID,RawTime,ScaledTime,Rank
0,1.0,1.0,82.0,1.41,18.0
1,1.0,2.0,71.0,1.13,12.0
2,1.0,3.0,65.0,1.03,10.0
3,1.0,4.0,92.0,1.1,11.0
4,1.0,5.0,117.0,1.08,13.0
5,1.0,6.0,73.0,1.14,12.0
6,1.0,7.0,103.0,0.84,9.0
7,1.0,8.0,121.0,2.09,18.0
8,1.0,9.0,68.0,1.0,11.0
9,1.0,10.0,44.0,0.88,7.0
10,1.0,11.0,56.0,0.87,8.0
11,1.0,12.0,42.0,0.75,4.0
12,1.0,13.0,35.0,0.43,3.0
13,1.0,14.0,87.0,1.02,12.0
14,1.0,15.0,47.0,0.99,10.0
15,1.0,16.0,21.0,0.65,2.0
16,1.0,17.0,50.0,0.88,8.0
17,1.0,18.0,31.0,0.79,6.0
18,1.0,19.0,78.0,1.66,22.0
19,1.0,20.0,66.0,1.29,10.0
20,1.0,21.0,56.0,0.86,7.0
21,1.0,22.0,44.0,0.97,9.0
22,1.0,23.0,43.0,0.99,9.0
23,1.0,24.0,23.0,0.42,1.0
24,1.0,25.0,68.0,1.11,15.0
25,2.0,8.0,89.0,1.53,15.0
26,2.0,9.0,55.0,0.81,10.0
27,2.0,10.0,65.0,1.3,14.0
28,2.0,11.0,98.0,1.52,19.0
29,2.0,12.0,87.0,1.55,15.0
30,2.0,13.0,121.0,1.48,13.0
31,2.0,14.0,246.0,2.89,18.0
32,2.0,15.0,108.0,2.27,18.0
33,2.0,16.0,32.0,0.98,10.0
34,2.0,17.0,64.0,1.12,14.0
35,2.0,18.0,39.0,1.0,13.0
36,2.0,19.0,141.0,3.0,23.0
37,2.0,20.0,127.0,2.49,13.0
38,2.0,21.0,194.0,2.98,19.0
39,2.0,22.0,28.0,0.62,2.0
40,2.0,23.0,41.0,0.94,7.0
41,2.0,24.0,203.0,3.72,24.0
42,2.0,25.0,59.0,0.97,10.0
43,2.0,26.0,381.0,7.12,21.0
44,2.0,29.0,74.0,1.85,12.0
45,3.0,1.0,79.0,1.36,16.0
46,3.0,3.0,109.0,1.73,16.0
47,3.0,4.0,62.0,0.74,7.0
48,3.0,6.0,59.0,0.92,9.0
49,3.0,7.0,175.0,1.42,16.0
50,3.0,8.0,156.0,2.69,20.0
51,3.0,9.0,92.0,1.35,17.0
52,3.0,10.0,82.0,1.64,17.0
53,3.0,11.0,133.0,2.06,20.0
54,3.0,12.0,36.0,0.64,3.0
55,3.0,13.0,126.0,1.55,15.0
56,3.0,14.0,72.0,0.85,6.0
57,3.0,15.0,174.0,3.66,20.0
58,3.0,16.0,76.0,2.34,19.0
59,3.0,17.0,118.0,2.07,20.0
60,3.0,18.0,56.0,1.44,19.0
61,3.0,19.0,64.0,1.36,19.0
62,3.0,20.0,70.0,1.37,11.0
63,3.0,21.0,187.0,2.88,18.0
64,3.0,22.0,77.0,1.69,18.0
65,3.0,24.0,71.0,1.3,19.0
66,3.0,25.0,154.0,2.52,19.0
67,3.0,26.0,62.0,1.16,13.0
68,3.0,27.0,84.0,2.05,18.0
69,3.0,29.0,111.0,2.78,15.0
70,3.0,30.0,54.0,1.26,13.0
71,4.0,2.0,46.0,0.73,3.0
72,4.0,3.0,46.0,0.73,6.0
73,4.0,4.0,93.0,1.11,12.0
74,4.0,5.0,80.0,0.74,5.0
75,4.0,6.0,31.0,0.48,3.0
76,4.0,7.0,182.0,1.48,17.0
77,4.0,8.0,125.0,2.16,19.0
78,4.0,9.0,81.0,1.19,13.0
79,4.0,10.0,71.0,1.42,16.0
80,4.0,14.0,321.0,3.78,20.0
81,4.0,15.0,43.0,0.91,6.0
82,4.0,16.0,86.0,2.65,20.0
83,4.0,17.0,122.0,2.14,21.0
