,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,ID,Date,DayOfWeek,NumEntries,MedianTime
0,0.0,0.0,0.0,0.0,0.0,1,3/10/20,Tue,19,58.0
1,1.0,1.0,1.0,1.0,1.0,2,3/11/20,Wed,17,63.0
2,2.0,2.0,2.0,2.0,2.0,3,3/12/20,Thu,17,63.0
3,3.0,3.0,3.0,3.0,3.0,4,3/13/20,Fri,18,84.0
4,4.0,4.0,4.0,4.0,4.0,5,3/14/20,Sat,20,108.0
5,5.0,5.0,5.0,5.0,5.0,6,3/16/20,Mon,20,64.0
6,6.0,6.0,6.0,6.0,6.0,7,3/17/20,Tue,21,123.0
7,7.0,7.0,7.0,7.0,7.0,8,3/18/20,Wed,21,58.0
8,8.0,8.0,8.0,8.0,8.0,9,3/22/20,Sun,21,68.0
9,9.0,9.0,9.0,9.0,9.0,10,3/23/20,Mon,21,50.0
10,10.0,10.0,10.0,10.0,10.0,11,3/24/20,Tue,20,64.5
11,11.0,11.0,11.0,11.0,11.0,12,3/25/20,Wed,19,56.0
12,12.0,12.0,12.0,12.0,12.0,13,4/6/20,Mon,18,81.5
13,13.0,13.0,13.0,13.0,13.0,14,4/7/20,Tue,20,85.0
14,14.0,14.0,14.0,14.0,14.0,15,4/9/20,Thu,20,47.5
15,15.0,15.0,15.0,15.0,15.0,16,4/10/20,Fri,20,32.5
16,16.0,16.0,16.0,16.0,16.0,17,4/12/20,Sun,21,57.0
17,17.0,17.0,17.0,17.0,17.0,18,4/13/20,Mon,25,39.0
18,18.0,18.0,18.0,18.0,18.0,19,4/14/20,Tue,23,47.0
19,19.0,19.0,19.0,19.0,19.0,20,4/15/20,Wed,14,51.0
20,20.0,20.0,20.0,20.0,20.0,21,4/16/20,Thu,21,65.0
21,21.0,21.0,21.0,21.0,21.0,22,4/17/20,Fri,20,45.5
22,22.0,22.0,22.0,22.0,22.0,23,4/19/20,Sun,18,43.5
23,23.0,23.0,23.0,23.0,23.0,24,4/20/20,Mon,24,54.5
24,24.0,24.0,24.0,24.0,24.0,25,4/21/20,Tue,21,61.0
25,25.0,25.0,25.0,25.0,25.0,26,4/27/20,Mon,22,53.5
26,26.0,26.0,26.0,26.0,26.0,27,4/28/20,Tue,19,41.0
27,27.0,27.0,27.0,27.0,27.0,28,4/29/20,Wed,19,40.0
28,28.0,28.0,28.0,28.0,28.0,29,4/30/20,Thu,17,40.0
29,29.0,29.0,29.0,29.0,29.0,30,5/1/20,Fri,18,43.0
30,30.0,30.0,30.0,30.0,0.0,31,5/9/20,Sat,16,129.0
31,31.0,31.0,31.0,0.0,,32,5/11/20,Mon,21,43.0
32,32.0,32.0,0.0,,,33,5/12/20,Tue,19,47.0
33,33.0,0.0,,,,34,5/13/20,Wed,19,47.0
34,0.0,,,,,35,5/14/20,Thu,16,60.0
0,,,,,,36,5/15/20,Fri,17,60
